"bMF" "bMM" "bMJA" "bMJB" "surv" "delay_f" "m_growth" "delay_j" "mean_hatch" "diff_hatch" "P2" "LHSresults"
"47" 0.0154313322935389 0.0194710902611261 0.0211628741875022 0.0209711094011826 0.0003132 2.349 2.463 10.633 476.2 2 0.507 0.15
"48" 0.00999130379836862 0.00403877574986764 0.00820441929941225 0.0244008167815284 0.0001836 18.993 15.497 7.745 302.2 373.2 0.953 0.25
"49" 0.0123919173648327 0.00515137634676476 0.019171369482966 0.0112423995471033 3.48e-05 18.765 13.065 6.491 355 58.8 0.301 0
"50" 0.012079529607197 0.00958531448601719 0.00727926968144865 0.014929684689355 9e-05 13.521 5.275 17.967 629.8 256.4 0.989 0.02
"51" 0.0158467944222902 0.00874729976776456 0.0116216954843137 0.0215773104683538 1.8e-05 17.169 17.397 2.957 217 320.4 0.643 0
"52" 0.0164558799130925 0.0126607112630123 0.00997533845691704 0.017290409528117 0.0002068 7.935 6.605 4.325 395.8 105.2 0.839 0.21
"53" 0.0069388219052949 0.0121353059776046 0.00641107698837197 0.01205964610744 0.0002764 8.277 9.531 7.137 585.4 201.2 0.191 0.48
"54" 0.0172691959934207 0.00941569477979664 0.0034845103818234 0.00712879698354655 0.000222 7.137 18.575 18.043 149.8 374.8 0.035 0.01
"55" 0.00896414232019205 0.00861520119841432 0.0136606858444512 0.01250960503836 0.0002388 19.183 12.191 7.403 482.2 282 0.817 0.33
"56" 0.0245748499448317 0.0226308985798763 0.0233352348228053 0.014400006744414 0.0001068 15.611 6.339 4.819 250.6 40.4 0.449 0
"57" 0.0125746397282426 0.00701470575892193 0.0109178402197802 0.0107337192296372 6.04e-05 9.379 11.051 2.045 172.6 14 0.991 0
"58" 0.0198198512600272 0.00979045379699205 0.0076385615339373 0.00845198907979988 0.0001612 7.821 3.641 1.323 315.4 334 0.075 0.47
"59" 0.0154626590104965 0.00628891617824001 0.015584432255363 0.0186611804190854 1.64e-05 18.575 1.893 19.183 665.8 222 0.823 0
"60" 0.0117151141326235 0.00327633426000691 0.00696220781486546 0.00203667141787633 0.0001124 12.761 19.715 18.005 314.2 38 0.227 0.01
"61" 0.00622016932542617 0.0121749781771552 0.0125573737551687 0.000594835885859556 5.72e-05 2.805 11.621 18.347 370.6 137.2 0.653 0
"62" 0.0252742287845586 0.00818847153071665 0.0229811188754757 0.00865763469919362 2.8e-06 6.111 4.781 1.095 446.2 90.8 0.799 0
"63" 0.0115846384074642 0.0324441774544879 0.00932775460143473 0.0181868480127922 0.0002628 11.279 8.125 8.695 283 112.4 0.039 0.01
"64" 0.0126007899637726 0.00332501613187837 0.023701153904419 0.00591937877143893 0.0002404 10.481 8.277 8.505 451 103.6 0.411 0.33
"65" 0.00879992265609979 0.0151895540765709 0.0119602518946113 0.0145159589113948 0.0003556 11.621 10.405 17.359 317.8 186.8 0.021 0.15
"66" 0.0203783089623345 0.0257277226596789 0.0117659566730811 0.0246729121022076 0.0002996 10.709 16.561 14.661 441.4 318 0.421 0.02
"67" 0.0124440713645424 0.0112527060836398 0.00423460787891078 0.0221087665650094 0.0002892 18.233 6.833 13.065 261.4 164.4 0.295 0.12
"68" 0.0110585902010365 0.0145851438197587 0.0367623170002608 0.00247974171631388 0.0003788 14.737 2.995 10.747 122.2 245.2 0.555 0.01
"69" 0.00949410464000627 0.013921591805416 0.00792031601993479 0.0109170077616655 3e-05 12.685 19.145 16.295 388.6 250.8 0.573 0
"70" 0.0176298263887095 0.0107397204273289 0.00562702700659535 0.0140016107108977 0.000258 7.745 7.327 17.511 241 122 0.267 0.02
"71" 0.00755909304733053 0.0223827388711414 0.00214017873122846 0.00545350828691161 0.0003308 3.109 15.763 15.117 524.2 159.6 0.793 0.18
"72" 0.0107916248935163 0.0042833361579618 0.0255940123829141 0.00646339721087108 8.76e-05 1.437 19.829 10.329 179.8 150 0.635 0
"73" 0.0304129984876896 0.0291785479695779 0.00322442225246075 0.00832935787060706 3.8e-05 9.455 2.843 12.077 695.8 192.4 0.161 0
"74" 0.0261179678853385 0.0302213323818906 0.00531262069469898 0.0111488099066677 0.0003404 1.019 19.487 15.611 184.6 106 0.803 0
"75" 0.0078122681380195 0.00342062557236604 0.0181349390925979 0.00720762954331756 0.0001828 15.649 1.209 19.335 328.6 16.4 0.381 0.02
"76" 0.00728714694156616 0.00734105221555555 0.00586228230436276 0.00494655229064395 0.0002796 14.699 18.195 4.667 597.4 350 0.775 0.55
"77" 0.0143316154965215 0.00522307908296547 0.0114786446459427 0.00506391313689389 0.0001868 4.363 6.377 5.845 643 368.4 0.867 0.36
"78" 0.0129950433225572 0.0180824733000636 0.029929640960381 0.00471087202811939 5.96e-05 17.397 16.181 4.971 125.8 306.8 0.005 0
"79" 0.00842117375654678 0.00451905884079138 0.0145604114019345 0.0331479273659214 0.0001564 12.875 16.067 19.563 267.4 38.8 0.725 0.01
"80" 0.0127580010356373 0.00878039461561897 0.00767867979235297 0.0269726973817368 5e-05 18.119 9.873 5.351 256.6 59.6 0.495 0
"81" 0.00876653389830048 0.0310215320557107 0.0104184514398797 0.00435415364548337 0.0002076 10.557 14.053 2.653 382.6 167.6 0.247 0.23
"82" 0.0157816647821526 0.0174649527372704 0.0102844826620203 0.0101945539201955 0.000194 3.565 14.509 8.961 532.6 260.4 0.081 0.15
"83" 0.0214665690344045 0.00665365860184262 0.0134980373467334 0.0148101910355821 0.0001268 13.103 9.037 14.319 401.8 155.6 0.871 0
"84" 0.00970212247566072 0.0115916383656128 0.00164555058759952 0.00374667606310599 0.0003812 19.601 7.251 8.315 385 275.6 0.223 0.39
"85" 0.00973143865969745 0.00891307779967239 0.00550925456061021 0.0205842811480432 2.44e-05 8.961 17.549 4.591 158.2 126.8 0.921 0
